Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,25.000000,25.170000,20.459999,23.870001,23.870001,95716800
2019-11-01,23.870001,35.750000,22.250000,35.230000,35.230000,92688500
2019-12-01,35.299999,37.020000,25.670000,28.400000,28.400000,130951400
2020-01-01,28.900000,33.700001,26.889999,32.360001,32.360001,101208200
2020-02-01,32.869999,34.599998,24.520000,26.690001,26.690001,142561400
2020-03-01,27.200001,29.320000,17.700001,26.549999,26.549999,163645600
2020-04-01,26.440001,38.080002,25.850000,31.500000,31.500000,170368200
2020-05-01,31.030001,49.680000,30.700001,42.189999,42.189999,288812400
2020-06-01,42.101002,60.000000,41.259998,57.770000,57.770000,211772500
2020-07-01,57.540001,69.727997,56.919998,68.220001,68.220001,149647800
2020-08-01,69.599998,77.800003,62.500000,76.669998,76.669998,135153200
2020-09-01,78.389999,102.830002,72.110001,99.239998,99.239998,822832800
2020-10-01,99.830002,139.750000,99.305000,110.209999,110.209999,423338300
2020-11-01,112.355003,132.789993,92.029999,116.349998,116.349998,325494700
2020-12-01,113.730003,167.369995,108.180000,151.720001,151.720001,268385300
2021-01-01,152.509995,171.089996,139.020996,146.130005,146.130005,123140400
2021-02-01,147.699997,157.830002,111.940002,120.470001,120.470001,158649100
2021-03-01,122.477997,126.739998,94.000000,112.440002,112.440002,197613300
2021-04-01,114.989998,124.800003,96.540001,98.349998,98.349998,190245500
2021-05-01,98.258003,114.000000,80.480003,110.309998,110.309998,492120800
2021-06-01,110.900002,127.980003,101.519997,124.019997,124.019997,178087400
2021-07-01,125.000000,129.699997,108.099998,118.050003,118.050003,124674400
2021-08-01,117.900002,122.994003,99.099998,100.190002,100.190002,148318600
2021-09-01,99.910004,118.610001,84.669998,87.050003,87.050003,178889900
2021-10-01,86.190002,99.360001,81.040001,91.440002,91.440002,119715500
2021-11-01,91.599998,92.949997,41.130001,44.000000,44.000000,487763700
2021-12-01,43.810001,46.500000,33.910000,35.759998,35.759998,383797000
2022-01-01,36.080002,37.680000,22.809999,27.330000,27.330000,627377700
2022-02-01,27.389999,40.349998,23.209999,34.680000,34.680000,555634800
2022-02-11,36.810001,37.293201,33.680000,34.680000,34.680000,29809292
