Date,Open,High,Low,Close,Adj Close,Volume
2017-03-01,21.760000,22.129999,18.809999,19.270000,19.270000,33128800
2017-04-01,19.290001,20.870001,18.320000,20.799999,20.799999,21964600
2017-05-01,20.799999,21.850000,19.790001,21.850000,21.850000,36264900
2017-06-01,21.879999,24.580000,21.030001,23.340000,23.340000,40686100
2017-07-01,23.379999,23.570000,21.990000,22.660000,22.660000,21486000
2017-08-01,22.670000,25.438000,22.500000,25.370001,25.370001,35645000
2017-09-01,25.370001,27.200001,24.530001,26.980000,26.980000,20182700
2017-10-01,27.000000,27.219999,25.549999,26.639999,26.639999,14825300
2017-11-01,26.700001,32.919998,25.559999,32.369999,32.369999,28506800
2017-12-01,32.349998,35.029999,31.059999,34.630001,34.630001,17912100
2018-01-01,34.250000,34.988998,31.780001,33.759998,33.759998,22373800
2018-02-01,33.770000,38.320000,28.980000,36.980000,36.980000,31365200
2018-03-01,36.959999,40.040001,36.730000,37.770000,37.770000,18836400
2018-04-01,37.520000,41.500000,35.919998,40.290001,40.290001,17298400
2018-05-01,40.139999,41.669998,36.720001,39.630001,39.630001,25737600
2018-06-01,39.869999,46.810001,39.560001,43.939999,43.939999,22131000
2018-07-01,43.560001,50.730000,43.029999,47.520000,47.520000,18802100
2018-08-01,47.689999,53.410000,47.520000,51.369999,51.369999,24972300
2018-09-01,51.500000,55.349998,49.000999,54.029999,54.029999,19349800
2018-10-01,54.250000,54.459999,44.970001,49.090000,49.090000,29916600
2018-11-01,49.380001,57.660000,46.891998,55.220001,55.220001,27736200
2018-12-01,57.020000,58.500000,47.999001,53.619999,53.619999,24075200
2019-01-01,52.680000,59.520000,52.150002,57.919998,57.919998,26287800
2019-02-01,57.950001,61.900002,56.209999,58.779999,58.779999,28432900
2019-03-01,59.410000,68.889999,59.360001,68.720001,68.720001,29703600
2019-04-01,69.150002,77.338997,68.620003,75.699997,75.699997,28047200
2019-05-01,76.279999,81.760002,67.500000,76.470001,76.470001,33922900
2019-06-01,76.500000,81.900002,70.099998,72.440002,72.440002,40382300
2019-07-01,73.470001,79.800003,73.250000,78.660004,78.660004,24498500
2019-08-01,78.699997,79.480003,65.839996,70.610001,70.610001,32556300
2019-09-01,68.150002,69.064003,56.689999,57.869999,57.869999,25136200
2019-10-01,58.250000,64.360001,56.139999,63.660000,63.660000,24262200
2019-11-01,64.000000,74.900002,59.580002,73.919998,73.919998,33856100
2019-12-01,73.940002,75.970001,72.029999,74.680000,74.680000,17031700
2020-01-01,74.830002,81.550003,74.190002,80.790001,80.790001,17182400
2020-02-01,81.000000,88.769997,65.879997,67.489998,67.489998,27824700
2020-03-01,67.839996,71.349998,23.770000,48.700001,48.700001,88983100
2020-04-01,45.770000,66.279999,36.410000,60.330002,60.330002,60019600
2020-05-01,58.380001,66.879997,45.869999,64.629997,64.629997,54100300
2020-06-01,64.849998,80.599998,57.740002,60.570000,60.570000,52180300
2020-07-01,61.730000,64.610001,51.700001,52.200001,52.200001,40588000
2020-08-01,52.049999,63.980000,49.419998,60.790001,60.790001,39706800
2020-09-01,60.270000,63.980000,53.549999,61.619999,61.619999,33519900
2020-10-01,62.730000,68.860001,57.904999,59.270000,59.270000,29525900
2020-11-01,60.040001,86.500000,58.779999,72.949997,72.949997,42985000
2020-12-01,73.500000,79.599998,72.559998,77.629997,77.629997,21830500
2021-01-01,76.900002,84.330002,71.250000,72.000000,72.000000,27755000
2021-02-01,72.699997,90.339996,71.680000,86.089996,86.089996,31690000
2021-03-01,87.919998,89.980003,71.349998,77.300003,77.300003,29649800
2021-04-01,78.029999,89.179001,77.470001,83.989998,83.989998,21170100
2021-05-01,84.540001,84.790001,72.910004,78.769997,78.769997,20685500
2021-06-01,78.349998,79.550003,71.839996,75.250000,75.250000,18966500
2021-07-01,75.839996,77.614998,68.169998,75.230003,75.230003,22121700
2021-08-01,75.800003,82.769997,67.889999,81.300003,81.300003,27086900
2021-09-01,81.599998,82.430000,75.940002,78.550003,78.550003,14944100
2021-10-01,80.080002,84.269997,76.910004,79.550003,79.550003,13347500
2021-11-01,80.099998,99.599998,79.900002,81.690002,81.690002,25148900
2021-12-01,83.410004,92.754997,78.519997,90.580002,90.580002,17412400
2022-01-01,92.089996,97.330002,79.190002,88.639999,88.639999,21294500
2022-02-01,89.379997,97.040001,84.839996,92.269997,92.269997,7994400
2022-02-11,94.900002,95.129997,90.949997,92.269997,92.269997,916347
